"","SYMBOL","ENTREZID"
"Ndufa4",Ndufa4,17992
"Gpt",Gpt,76282
"Ube2k",Ube2k,53323
"Top1",Top1,21969
"Ccar2",Ccar2,219158
"Cst3",Cst3,13010
"Hp1bp3",Hp1bp3,15441
"Acly",Acly,104112
"Fahd2",Fahd2,NA
"Abhd12",Abhd12,76192
"Picalm",Picalm,233489
"Vwa5a",Vwa5a,67776
"Eif5a",Eif5a,276770
"Anp32a",Anp32a,11737
"Ndufb10",Ndufb10,68342
"Idh3g",Idh3g,15929
"Naxe",Naxe,246703
"Bzw1",Bzw1,66882
"Dctn1",Dctn1,13191
"Asl",Asl,109900
"Atp6v1h",Atp6v1h,108664
"Tm9sf4",Tm9sf4,99237
"Pgrmc2",Pgrmc2,70804
"Gpm6b",Gpm6b,14758
"Rpl27a",Rpl27a,26451
"Camk2g",Camk2g,12325
"Lamp2",Lamp2,16784
"Snx5",Snx5,69178
"Snx27",Snx27,76742
"Tpm3",Tpm3,59069
"Fdxr",Fdxr,14149
"Letm1",Letm1,56384
"Wars",Wars,22375
"Copb2",Copb2,50797
"Snu13",Snu13,20826
"Ppid",Ppid,67738
"Nars",Nars,70223
"Erp29",Erp29,67397
"Psmd13",Psmd13,23997
"Lman2",Lman2,66890
"Khdrbs1",Khdrbs1,20218
"Fus",Fus,233908
"Derl1",Derl1,67819
"Stt3a",Stt3a,16430
"Atp5me",Atp5me,NA
"Acsl1",Acsl1,14081
"NA..6",,NULL
"Ddah2",Ddah2,51793
"Cfl2",Cfl2,12632
"Septin10",Septin10,NA
"Tgm3",Tgm3,21818
"Mapre3",Mapre3,100732
"Rpl22",Rpl22,19934
"Serpinb6",Serpinb6,NA
"Fis1",Fis1,66437
"Serpinh1",Serpinh1,12406
"Cyp2d11",Cyp2d11,545123
"Atp5mf",Atp5mf,NA
"Lrrc15",Lrrc15,74488
"Lrrc15.1",Lrrc15,74488
"Tln1",Tln1,21894
"Lgals3",Lgals3,16854
"Akr1b7.1",Akr1b7,11997
"Tspan7",Tspan7,21912
"Mif",Mif,17319
"Cox6c",Cox6c,12864
"Sntb1",Sntb1,20649
"Rps21",Rps21,66481
"Mlec",Mlec,109154
"Ppp3cb",Ppp3cb,19056
"Arpc1a",Arpc1a,56443
"GLG1",GLG1,NA
"RPL11",RPL11,NA
"Mat2a",Mat2a,232087
"Gbe1",Gbe1,74185
"Mapk3",Mapk3,26417
"Hnrnpul1",Hnrnpul1,232989
"Sf3a1",Sf3a1,67465
"Cops7a",Cops7a,26894
"Atp2b2",Atp2b2,11941
"Mtatp8",Mtatp8,NA
"Lgalsl",Lgalsl,216551
"Rps27",Rps27,57294
"Lamp1",Lamp1,16783
"Psmd1",Psmd1,70247
"Akr1e2",Akr1e2,NA
"Eprs",Eprs,107508
"Suox",Suox,211389
"Ssr4",Ssr4,20832
"Fkbp1a",Fkbp1a,14225
"Snrnp200",Snrnp200,320632
"Rps5",Rps5,20103
"Abi2",Abi2,329165
"Cpne1",Cpne1,266692
"Ctnnd2",Ctnnd2,18163
"Sirpa",Sirpa,19261
"FAM120A",FAM120A,NA
"Txndc5",Txndc5,105245
"Vapa",Vapa,30960
"Snx1",Snx1,56440
"Snx2",Snx2,67804
"Pdxk",Pdxk,216134
"Pura",Pura,19290
"Rps28",Rps28,54127
"Tollip",Tollip,54473
"Rcn2",Rcn2,26611
"Marcks",Marcks,17118
"Psmd14",Psmd14,59029
"Sqor",Sqor,59010
"Rpl14",Rpl14,67115
"Nudt3",Nudt3,56409
"Ndufa5",Ndufa5,68202
"RPL6",RPL6,NA
"Gabarapl2",Gabarapl2,93739
"Crk",Crk,12928
"Hmgcs1",Hmgcs1,208715
"Nckap1",Nckap1,50884
"Atp6v1g1",Atp6v1g1,66290
"Ola1",Ola1,67059
"Mta2",Mta2,23942
"Mta1",Mta1,116870
"Pitpna",Pitpna,18738
"Snrpd3",Snrpd3,67332
"Vat1",Vat1,26949
"Rab21",Rab21,216344
"Atxn10",Atxn10,54138
"Rpl23a",Rpl23a,268449
"Krtap6.5",Krtap6-5,68484
"Cpsf6",Cpsf6,432508
"Myef2",Myef2,17876
"Ndufb5",Ndufb5,66046
"Pgp",Pgp,67078
"Srsf6",Srsf6,67996
"Srsf5",Srsf5,20384
"Cttn",Cttn,13043
"Tppp3",Tppp3,67971
"Safb",Safb,224903
"Slc25a1",Slc25a1,13358
"Grhpr",Grhpr,76238
"Tomm22",Tomm22,223696
"Pspc1",Pspc1,66645
"Hspb1",Hspb1,15507
"Rpl9",Rpl9,20005
"Hdlbp",Hdlbp,110611
"Hdhd2",Hdhd2,76987
"Mecp2",Mecp2,17257
"Eif3d",Eif3d,55944
"Srsf3",Srsf3,20383
"Tpp1",Tpp1,12751
"RPL31",RPL31,NA
"Ndufb7",Ndufb7,66916
"Rpl8",Rpl8,26961
"Psmc5",Psmc5,19184
"Csnk1a1",Csnk1a1,93687
"Hsdl2",Hsdl2,72479
"Dpp3",Dpp3,75221
"Vta1",Vta1,66201
"Arl3",Arl3,56350
"Rpl38",Rpl38,67671
"Ube2m",Ube2m,22192
"Ogt",Ogt,108155
"Pafah1b2",Pafah1b2,18475
"Vars",Vars,22321
"Syt1",Syt1,20979
"Apmap",Apmap,71881
"Ppa2",Ppa2,74776
"Lrrc59",Lrrc59,98238
"Ndufs8",Ndufs8,225887
"Slc16a1",Slc16a1,20501
"Stx1b",Stx1b,56216
"Bcl2l13",Bcl2l13,94044
"Copb1",Copb1,70349
"Akr1b1",Akr1b1,NA
"S100a13",S100a13,20196
"Abhd6",Abhd6,66082
"Arpc3",Arpc3,56378
"Smarcc2",Smarcc2,68094
"Abcd3",Abcd3,19299
"Gstt1",Gstt1,14871
"Blvrb",Blvrb,233016
"Ndufb8",Ndufb8,67264
"Sarnp",Sarnp,66118
"Skp1",Skp1,NA
"Myorg",Myorg,329828
"Rer1",Rer1,67830
"Rps17",Rps17,20068
"Cnn3",Cnn3,71994
"Btf3",Btf3,218490
"Rmdn1",Rmdn1,66302
"Sdhc",Sdhc,66052
"Cxadr",Cxadr,13052
"Gtf2i",Gtf2i,14886
"Arsa",Arsa,11883
"Fahd2.1",Fahd2,NA
"Esd",Esd,13885
"Agpat3",Agpat3,28169
"Snap91",Snap91,20616
"Psmb4",Psmb4,19172
"Aass",Aass,30956
"Crip2",Crip2,68337
"GNPDA1",GNPDA1,NA
"Ndufb4",Ndufb4,68194
"Gpx4",Gpx4,625249
"Septin9",Septin9,NA
"Coro1b",Coro1b,23789
"Cars",Cars,27267
"Pabpn1",Pabpn1,54196
"Pi4k2a",Pi4k2a,84095
"Actr3",Actr3,74117
"Gpt2",Gpt2,108682
"Nebl",Nebl,74103
"Apoo",Apoo,68316
"Dync1h1",Dync1h1,13424
"Rpl28",Rpl28,19943
"Gsr",Gsr,14782
"Pgrmc1",Pgrmc1,53328
"Tmed4",Tmed4,103694
"Dsg1b",Dsg1b,225256
"Nsfl1c",Nsfl1c,386649
"Uqcrb",Uqcrb,67530
"Cox5b",Cox5b,12859
"Lgals1",Lgals1,16852
"Tpm3.1",Tpm3,59069
"Ndufa13",Ndufa13,67184
"Clpp",Clpp,53895
"Ak2",Ak2,11637
"Nfs1",Nfs1,18041
"Naprt",Naprt,223646
"Aqp4",Aqp4,11829
"Ubqln2",Ubqln2,54609
"Dbn1",Dbn1,56320
"Dync1li1",Dync1li1,235661
"Lancl2",Lancl2,71835
"Dnm2",Dnm2,13430
"Dnm1",Dnm1,13429
"Mtx1",Mtx1,17827
"Ephx1",Ephx1,13849
"Emc4",Emc4,68032
"Psmd5",Psmd5,66998
"Map2k1",Map2k1,26395
"Rars",Rars,104458
"Syngr1",Syngr1,20972
"Papss2",Papss2,23972
"Nup93",Nup93,71805
"Tnpo1",Tnpo1,238799
"Ssb",Ssb,20823
"Hephl1",Hephl1,244698
"Impdh1",Impdh1,23917
"Ppp2r2a",Ppp2r2a,71978
"Prps1",Prps1,19139
"Mgst1",Mgst1,56615
"Mavs",Mavs,228607
"Nit2",Nit2,52633
"Dpp7",Dpp7,83768
"Ykt6",Ykt6,56418
"Abr",Abr,109934
"Slc38a3",Slc38a3,76257
"Glrx3",Glrx3,30926
"Arsb",Arsb,11881
"Psmc3",Psmc3,19182
"Nt5c2",Nt5c2,76952
"Srm",Srm,20810
"Dbt",Dbt,13171
"Akr7a2",Akr7a2,NA
"Sf3a3",Sf3a3,75062
"Nudc",Nudc,18221
"Ppp2r5c",Ppp2r5c,26931
"Hsd17b8",Hsd17b8,NA
"Rap1b",Rap1b,215449
"Rpl10a",Rpl10a,19896
"Nipsnap2",Nipsnap2,14467
"Pithd1",Pithd1,66193
"Tmod2",Tmod2,50876
"Smpd3",Smpd3,58994
"Rad23b",Rad23b,19359
"Sar1b",Sar1b,66397
"Cspg5",Cspg5,29873
"Snrpd2",Snrpd2,107686
"Tmx3",Tmx3,67988
"Dbnl",Dbnl,13169
"Gstt3",Gstt3,103140
"Actl6a",Actl6a,56456
"Rcc1",Rcc1,100088
"Rpl34",Rpl34,68436
"Mtch1",Mtch1,56462
"Gpr37l1",Gpr37l1,171469
"NA..7",,NULL
"Abhd14b",Abhd14b,76491
"Ndrg1",Ndrg1,17988
"Tmed9",Tmed9,67511
"Calcoco1",Calcoco1,67488
"Srrm2",Srrm2,75956
"Snx3",Snx3,54198
"Lancl1",Lancl1,14768
"Crot",Crot,74114
"Gcdh",Gcdh,270076
"Bcan",Bcan,12032
"Usp14",Usp14,59025
"S100a16",S100a16,67860
"Ssr1",Ssr1,107513
"Mpst",Mpst,246221
"Cox5a",Cox5a,12858
"Gcn1",Gcn1,231659
"Pts",Pts,19286
"Nudt21",Nudt21,68219
"Crkl",Crkl,12929
"Ktn1",Ktn1,16709
"Rragb",Rragb,245670
"Map2",Map2,17756
"Fads1",Fads1,76267
"Ergic1",Ergic1,67458
"Ndufb11",Ndufb11,104130
"Acot7",Acot7,70025
"NA..8",,NULL
"Prss1",Prss1,114228
"Ndufa6",Ndufa6,67130
"Smpdl3b",Smpdl3b,100340
"Vamp4",Vamp4,53330
"Cds2",Cds2,110911
"Cd47",Cd47,16423
"Ptma",Ptma,19231
"Ctsl",Ctsl,13039
"Vamp3",Vamp3,22319
"Emc3",Emc3,66087
"Cadm4",Cadm4,260299
"Ddx19a",Ddx19a,13680
"Hook3",Hook3,320191
"S100a1",S100a1,20193
"Cox7a2",Cox7a2,12866
"Kprp",Kprp,433619
"Rftn2",Rftn2,74013
"Psmb8",Psmb8,16913
"Ndufc2",Ndufc2,68197
"Rpl19",Rpl19,19921
"Snapin",Snapin,20615
"Hikeshi",Hikeshi,67669
"Eea1",Eea1,216238
"Rrbp1",Rrbp1,81910
"Dnaja1",Dnaja1,15502
"Emc8",Emc8,18117
"Mlf2",Mlf2,30853
"H1f0",H1f0,14958
"Rpl21",Rpl21,19933
"Alyref2",Alyref2,56009
"Tmem109",Tmem109,68539
"Uggt1",Uggt1,320011
"Atp6v1d",Atp6v1d,73834
"Srprb",Srprb,20818
"Stat3",Stat3,20848
"Cmtm5",Cmtm5,67272
"Acot13",Acot13,66834
"Fxyd1",Fxyd1,56188
"S100b",S100b,20203
"Stoml2",Stoml2,66592
"Syngr3",Syngr3,20974
"Dazap1",Dazap1,70248
"Ndufs6",Ndufs6,407785
"Sh3glb2",Sh3glb2,227700
"Tmem65",Tmem65,74868
"Rbx1",Rbx1,56438
"Fam169a",Fam169a,320557
"Kdsr",Kdsr,70750
"Sf1",Sf1,22668
"Cops8",Cops8,108679
"Psmd6",Psmd6,66413
"Scfd1",Scfd1,76983
"Scamp1",Scamp1,107767
"Tmem165",Tmem165,21982
"Mtnd2",Mtnd2,NA
"Timm50",Timm50,66525
"Srsf9",Srsf9,108014
"Blvra",Blvra,109778
"G3bp1",G3bp1,27041
"MT.CYB",MT-CYB,NA
"Ncdn",Ncdn,26562
"Farsb",Farsb,23874
"Higd1a",Higd1a,56295
"Eif2s2",Eif2s2,67204
"Eif3h",Eif3h,68135
"Clptm1",Clptm1,56457
"Chmp4b",Chmp4b,75608
"Ndufb3",Ndufb3,66495
"Parva",Parva,57342
"Ppie",Ppie,56031
"Ndufa11",Ndufa11,69875
"Rps23",Rps23,66475
"Dcxr",Dcxr,67880
"Npepl1",Npepl1,228961
"Caprin1",Caprin1,53872
"Pacsin3",Pacsin3,80708
"Fn3krp",Fn3krp,238024
"Itga6",Itga6,16403
"Zfr",Zfr,22763
"Hsd17b11",Hsd17b11,114664
"Nae1",Nae1,234664
"Sh3gl2",Sh3gl2,20404
"FGF1",FGF1,NA
"Sf3b4",Sf3b4,107701
"Srsf2",Srsf2,20382
"Atp5f1d",Atp5f1d,NA
"Klc4",Klc4,74764
"Muc15",Muc15,269328
"Anxa4",Anxa4,11746
"Nup35",Nup35,69482
"Abcb8",Abcb8,74610
"Ndufb9",Ndufb9,66218
"Btbd17",Btbd17,72014
"Endod1",Endod1,71946
"L2hgdh",L2hgdh,217666
"Apool",Apool,68117
"Tbl1xr1",Tbl1xr1,81004
"RPS26",RPS26,NA
"Pcmt1",Pcmt1,18537
"Lpcat3",Lpcat3,14792
"Cmpk1",Cmpk1,66588
"Fabp3",Fabp3,14077
"Arhgap22",Arhgap22,239027
"Atp6v1e1",Atp6v1e1,11973
"Tbl2",Tbl2,27368
"Nipsnap1",Nipsnap1,18082
"Rpl37a",Rpl37a,19981
"Tra2a",Tra2a,101214
"Snrpe",Snrpe,20643
"Trim28",Trim28,21849
"Luc7l2",Luc7l2,192196
"Rsu1",Rsu1,20163
"Arl6ip5",Arl6ip5,65106
"Psmd12",Psmd12,66997
"Ube2d2b",Ube2d2b,73318
"S1pr1",S1pr1,13609
"Ndufa2",Ndufa2,17991
"Psmb6",Psmb6,19175
"Ddx31",Ddx31,227674
"Sh3glb1",Sh3glb1,54673
"Bcat2",Bcat2,12036
"Luc7l3",Luc7l3,67684
"Npc1",Npc1,18145
"Mlc1",Mlc1,170790
"Emc2",Emc2,66736
"Opa1",Opa1,74143
"Snrpa1",Snrpa1,68981
"Cdc37",Cdc37,12539
"Eif2b2",Eif2b2,217715
"Rplp1",Rplp1,56040
"Nif3l1",Nif3l1,65102
"Hacd2",Hacd2,70757
"Atg3",Atg3,67841
"Ppl",Ppl,19041
"Tkfc",Tkfc,225913
"Pls1",Pls1,102502
"Carhsp1",Carhsp1,52502
"Ranbp1",Ranbp1,19385
"Gspt1",Gspt1,14852
"Mtpn",Mtpn,14489
"Ptdss1",Ptdss1,19210
"Tpd52l2",Tpd52l2,66314
"Vkorc1",Vkorc1,27973
"Epg5",Epg5,100502841
"Apex1",Apex1,11792
"Magohb",Magohb,66441
"Txn",Txn,NA
"Tm9sf2",Tm9sf2,68059
"Ormdl2",Ormdl2,66844
"NA..9",,NULL
"STC2",STC2,NA
"Ociad1",Ociad1,68095
"Mtnd3",Mtnd3,NA
"Stx12",Stx12,100226
"Epha7",Epha7,13841
"Hdgfl3",Hdgfl3,29877
"Fkbp4",Fkbp4,14228
"Ccdc90b",Ccdc90b,66365
"Mocs3",Mocs3,69372
"Ndufa3",Ndufa3,66091
"Ubap2l",Ubap2l,74383
"Dhrs7",Dhrs7,66375
"Txndc17",Txndc17,52700
"Ctsf",Ctsf,56464
"Mal2",Mal2,105853
"Nqo2",Nqo2,18105
"Abhd4",Abhd4,105501
"Ndufs7",Ndufs7,75406
"F3",F3,14066
"Fam83h",Fam83h,105732
"Lyz1",Lyz1,17110
"Cyp51a1",Cyp51a1,NA
"Lta4h",Lta4h,16993
"Tpm4",Tpm4,326618
"Gclm",Gclm,14630
"Ctnnd1",Ctnnd1,12388
"Mpdu1",Mpdu1,24070
"Sumo3",Sumo3,20610
"Ctsz",Ctsz,64138
"Lamtor4",Lamtor4,66096
"Timm8a2",Timm8a2,223262
"Gde1",Gde1,56209
"Gys1",Gys1,14936
"Smarce1",Smarce1,57376
"Nras",Nras,18176
"Ybx1",Ybx1,22608
"Slc7a5",Slc7a5,20539
"Atp1b3",Atp1b3,11933
"GOSR1",GOSR1,NA
"Bckdhb",Bckdhb,12040
"Tns3",Tns3,319939
"CRYAB",CRYAB,NA
"Dusp3",Dusp3,72349
"Has1",Has1,15116
"Opa3",Opa3,403187
"Pycr2",Pycr2,69051
"Prep",Prep,19072
"Eif1b",Eif1b,68969
"Sec61b",Sec61b,66212
"Rab31",Rab31,106572
"Stom",Stom,13830
"Hyou1",Hyou1,12282
"Prpf6",Prpf6,68879
"Lnpk",Lnpk,69605
"Galc",Galc,14420
"Chpt1",Chpt1,212862
"Mgll",Mgll,23945
"Phkg1",Phkg1,18682
"Rplp1.1",Rplp1,56040
"Ppp5c",Ppp5c,19060
"Gns",Gns,75612
"Tmem201",Tmem201,230917
"Psmd9",Psmd9,67151
"Tm9sf3",Tm9sf3,107358
"Cox7c",Cox7c,12867
"Tpt1",Tpt1,22070
"Slc2a1",Slc2a1,20525
"Gfer",Gfer,11692
"Myl12b",Myl12b,67938
"RTRAF",RTRAF,NA
"Krt39",Krt39,237934
"Rbm8a",Rbm8a,60365
"Mpc2",Mpc2,70456
"Cacybp",Cacybp,12301
"Eif6",Eif6,16418
"Zbtb20",Zbtb20,56490
"Phpt1",Phpt1,75454
"Ptges3",Ptges3,56351
"Rae1",Rae1,66679
"Rtn1",Rtn1,104001
"Prmt1",Prmt1,15469
"Glrx",Glrx,93692
"DDX6",DDX6,NA
"Snap25",Snap25,20614
"Txnrd1",Txnrd1,50493
"Fam162a",Fam162a,70186
"Ube2v2",Ube2v2,70620
"Cltb",Cltb,74325
"Naga",Naga,17939
"Usp2",Usp2,53376
"Tecr",Tecr,106529
"Ucp3",Ucp3,22229
"Vps29",Vps29,56433
"Coro1a",Coro1a,12721
"Atp5mg",Atp5mg,NA
"C1qbp",C1qbp,12261
"Vav3",Vav3,57257
"Rpl36",Rpl36,54217
"Surf4",Surf4,20932
"Gda",Gda,14544
"Fth1",Fth1,14319
"Seh1l",Seh1l,72124
"Tmx1",Tmx1,72736
"Kyat1",Kyat1,70266
"Fam120c",Fam120c,207375
"GNB5",GNB5,NA
"Gyg1",Gyg1,NA
"Uchl4",Uchl4,93841
"Gps1",Gps1,209318
"Prps2",Prps2,110639
"Cpsf7",Cpsf7,269061
"Praf2",Praf2,54637
"Rpl35a",Rpl35a,57808
"Phkb",Phkb,102093
"Uchl3",Uchl3,50933
"Sccpdh",Sccpdh,109232
"Plxnb2",Plxnb2,140570
"Map6",Map6,17760
"Hccs",Hccs,15159
"Fscn1",Fscn1,14086
"Nedd4",Nedd4,17999
"Slc12a9",Slc12a9,83704
"Tsn",Tsn,22099
"Cdsn",Cdsn,386463
"Gmfb",Gmfb,63985
"Aprt",Aprt,11821
"Chst2",Chst2,54371
"Nt5c3b",Nt5c3b,68106
"Otub2",Otub2,68149
"Atad3",Atad3,NA
"Fut8",Fut8,53618
"Psme2",Psme2,19188
"Elmo2",Elmo2,140579
"Coro2b",Coro2b,235431
"Ranbp2",Ranbp2,19386
"Thoc6",Thoc6,386612
"Nptn",Nptn,20320
"Nop58",Nop58,55989
"Txndc12",Txndc12,66073
"Dnase1l2",Dnase1l2,66705
"Smu1",Smu1,74255
"Pgm3",Pgm3,109785
"Eif5",Eif5,217869
"Eml6",Eml6,237711
"Trim14",Trim14,74735
"Csad",Csad,246277
"Eva1a",Eva1a,232146
"Ncam1",Ncam1,17967
"Clint1",Clint1,216705
"Tra2b",Tra2b,20462
"Caskin1",Caskin1,268932
"Dnajb6",Dnajb6,23950
"Acpp",Acpp,56318
"Sec23b",Sec23b,27054
"GSK3B",GSK3B,NA
"Rpl36.1",Rpl36,54217
"Dhx15",Dhx15,13204
"Dync1i2",Dync1i2,13427
"Lair1",Lair1,52855
"ACYP2",ACYP2,NA
"ASNS",ASNS,NA
"Dag1",Dag1,13138
"Amph",Amph,218038
"Atp8a1",Atp8a1,11980
"Tlcd1",Tlcd1,68385
"Hpcal1",Hpcal1,53602
"Arhgap1",Arhgap1,228359
"Nectin4",Nectin4,71740
"Nup98",Nup98,269966
"Prkra",Prkra,23992
"Mtnd4",Mtnd4,NA
"Rangap1",Rangap1,19387
"Arcn1",Arcn1,213827
"Lsm12",Lsm12,268490
"Appl1",Appl1,72993
"Cldn1",Cldn1,12737
"Rpl10",Rpl10,110954
"Ppp1r1b",Ppp1r1b,19049
"Faf2",Faf2,76577
"Adrm1",Adrm1,56436
"Eif2b4",Eif2b4,13667
"Srrt",Srrt,83701
"Eif4g2",Eif4g2,13690
"Cyp2j3",Cyp2j3,NA
"Lrrc57",Lrrc57,66606
"Ckm",Ckm,12715
"C1qtnf5",C1qtnf5,235312
"Ybx3",Ybx3,56449
"Itgav",Itgav,16410
"Mgst3",Mgst3,66447
"Mertk",Mertk,17289
"Cdh2",Cdh2,12558
"Psmd8",Psmd8,57296
"Hspb8",Hspb8,80888
"Ctss",Ctss,13040
"Sorcs2",Sorcs2,81840
"Trappc3",Trappc3,27096
"Impad1",Impad1,242291
"Sri",Sri,109552
"Slc44a2",Slc44a2,68682
"FAU",FAU,NA
"Copg1",Copg1,54161
"Nfia",Nfia,18027
"Hdgf",Hdgf,15191
"Ubqln1",Ubqln1,56085
"Vps16",Vps16,80743
"Extl1",Extl1,56219
"Ak4",Ak4,11639
"Tp53i13",Tp53i13,NA
"Nme3",Nme3,79059
"Wasf3",Wasf3,245880
"Mtdh",Mtdh,67154
"Hid1",Hid1,217310
"Arap2",Arap2,212285
"Mtnd1",Mtnd1,NA
"Adck1",Adck1,72113
"Ap3s1",Ap3s1,11777
"Hm13",Hm13,NA
"Sypl1",Sypl1,NA
"Xpnpep1",Xpnpep1,170750
"Slc7a2",Slc7a2,11988
"Ttn",Ttn,22138
"Lypla1",Lypla1,18777
"Purb",Purb,19291
"Trim29",Trim29,72169
"Lrrk1",Lrrk1,233328
"Galm",Galm,319625
"Rpl35",Rpl35,66489
"Prkci",Prkci,18759
"Rbm3",Rbm3,19652
"Tia1",Tia1,21841
"Coro7",Coro7,78885
"Sgpl1",Sgpl1,20397
"Rabl3",Rabl3,67657
"Hagh",Hagh,14651
"Fdps",Fdps,110196
"Tmem229a",Tmem229a,319832
"Gng12",Gng12,14701
"As3mt",As3mt,57344
"Scamp5",Scamp5,56807
"Lmf1",Lmf1,76483
"Fads2",Fads2,56473
"Eif3k",Eif3k,73830
"Csnk2b",Csnk2b,13001
"Prpsap1",Prpsap1,67763
"Scamp3",Scamp3,24045
"Sh3bgrl",Sh3bgrl,56726
"Rbp1",Rbp1,19659
"Dctn4",Dctn4,67665
"Chac1",Chac1,69065
"APOA1",APOA1,NA
"Ube2d1",Ube2d1,216080
"Gng10",Gng10,14700
"Tmx2",Tmx2,66958
"Grb2",Grb2,14784
"RO60",RO60,NA
"Psmg2",Psmg2,107047
"Ufc1",Ufc1,66155
"Nqo1",Nqo1,18104
"Gpd1l",Gpd1l,333433
"Sf3b5",Sf3b5,66125
"Agpat5",Agpat5,52123
"Ttc38",Ttc38,239570
"Sgta",Sgta,52551
"Stt3b",Stt3b,68292
"Mindy2",Mindy2,235461
"Ppme1",Ppme1,72590
"Glyr1",Glyr1,74022
"Nutf2",Nutf2,68051
"Lman1",Lman1,70361
"Fmo1",Fmo1,14261
"Top2a",Top2a,21973
"Kmt2c",Kmt2c,231051
"Mpp6",Mpp6,56524
"Nr2e3",Nr2e3,23958
"Cnpy2",Cnpy2,56530
"Srsf10",Srsf10,14105
"Nol3",Nol3,78688
"Kcnj10",Kcnj10,16513
"Smc1a",Smc1a,24061
"Anxa8",Anxa8,11752
"Ilk",Ilk,16202
"Bicd2",Bicd2,76895
"Rad23a",Rad23a,19358
"Plcb3",Plcb3,18797
"Smpd2",Smpd2,20598
"Ckap4",Ckap4,216197
"Hint1",Hint1,15254
"Ubxn1",Ubxn1,225896
"Snrnp40",Snrnp40,66585
"Snrnp70",Snrnp70,20637
"Eif3m",Eif3m,98221
"Mtnd5",Mtnd5,NA
"Slc25a20",Slc25a20,57279
"Ndufa1",Ndufa1,54405
"Chchd6",Chchd6,66098
"Ppm1a",Ppm1a,19042
"G3bp2",G3bp2,23881
"Tom1",Tom1,21968
"Macf1",Macf1,11426
"Ddi2",Ddi2,68817
"Dnah1",Dnah1,110084
"Gcat",Gcat,26912
"Qars",Qars,97541
"Nradd",Nradd,67169
"Lactb",Lactb,80907
"Ctsc",Ctsc,13032
"Zscan2",Zscan2,22691
"Sec13",Sec13,110379
"Thop1",Thop1,50492
"Comtd1",Comtd1,69156
"Wdr19",Wdr19,213081
"Ttyh3",Ttyh3,78339
"Tppp",Tppp,72948
"Prkar1a",Prkar1a,19084
"Slc17a7",Slc17a7,72961
"Lrrc4",Lrrc4,192198
"Tanc2",Tanc2,77097
"Swap70",Swap70,20947
"Alox15b",Alox15b,NA
"Fkbp2",Fkbp2,14227
"Sass6",Sass6,72776
"MBP2",MBP2,NA
"Tmem43",Tmem43,74122
"Brd3",Brd3,67382
"Hprt1",Hprt1,NA
"Ptpra",Ptpra,19262
"Atad1",Atad1,67979
"Alg13",Alg13,67574
"Dsc1",Dsc1,13505
"Sec61a1",Sec61a1,53421
"Vma21",Vma21,67048
"Lmcd1",Lmcd1,30937
"Casc4",Casc4,319996
"Defb18",Defb18,654460
"Rpl32",Rpl32,19951
"Cstb",Cstb,13014
"Psmd4",Psmd4,19185
"Mras",Mras,17532
"Trpv2",Trpv2,22368
"Mical1",Mical1,171580
"Mettl11b",Mettl11b,240879
"Sec31a",Sec31a,69162
"Eif4e",Eif4e,13684
"Uba5",Uba5,66663
"Pcyt1b",Pcyt1b,236899
"Dgat2",Dgat2,67800
"Rpl26",Rpl26,19941
"Samhd1",Samhd1,56045
"Map3k1",Map3k1,26401
"Eps15l1",Eps15l1,13859
"Puf60",Puf60,67959
"Acyp1",Acyp1,66204
"Slc22a1",Slc22a1,20517
"Xbp1",Xbp1,22433
"Gap43",Gap43,14432
"Sec11a",Sec11a,56529
"Rasal1",Rasal1,19415
"Apob",Apob,238055
"C1qbp.1",C1qbp,12261
